customer_id,signup_date,marketing_spend,visits,purchase_amount,segment,notes
33234027_c0001,2025-02-14,112.56,4,161.45,Enterprise,
33234027_c0002,"Oct 09, 2024",31.14,5,0,Consumer,
33234027_c0003,2025-12-05,20.94,4,67.69,Consumer,
33234027_c0004,26/06/2025,173.24,8,174.78,SMB,
33234027_c0005,2025-08-15,133.35,3,62.74,Consumer,
33234027_c0006,2025-02-20,189.13,7,144.88,Consumer,
33234027_c0007,2025-10-06,76.46,4,71.41,SMB,
33234027_c0008,2025-02-07,49.07,2,89.84,Consumer,
33234027_c0009,N/A,54.4,4,44.13,Consumer,
33234027_c0010,2025-07-27,19.2,5,0,Consumer,contacted
33234027_c0011,N/A,129.69,4,197.49,Consumer,
33234027_c0012,2026-01-26,194.54,5,204.66,SMB,
33234027_c0013,13/07/2025,288.4,6,166.02,SMB,
33234027_c0014,2025-06-12,61.42,3,38.43,Consumer,N/A
33234027_c0015,2025-01-01,255.71,18,131.81,SMB,no response
33234027_c0016,2025-11-20,27.81,4,0,Consumer,
33234027_c0017,2025-05-03,115.62,2,115.05,Consumer,contacted
33234027_c0018,2025-10-24,276.35,9,254.4,Consumer,
33234027_c0019,2025-03-02,12.24,3,14.96,SMB,no response
33234027_c0020,2025-11-15,67.31,7,52.37,Consumer,
33234027_c0021,2024-11-18,187.95,15,,SMB,returned
33234027_c0022,2024-09-25,233.83,5,209.27,SMB,
33234027_c0023,2025-02-19,204.6,6,231.22,Consumer,N/A
33234027_c0024,2024-12-22,47.46,5,0,Consumer,
33234027_c0025,2024-12-19,94.77,6,16.23,Consumer,contacted
33234027_c0026,2025-01-10,208.8,3,221.59,Consumer,contacted
33234027_c0027,2025-10-05,277.76,10,189.16,Consumer,
33234027_c0028,2025-12-16,257.05,8,117.32,SMB,
33234027_c0029,2025-10-18,140.29,6,202.09,Consumer,
33234027_c0030,2024-11-07,28.48,5,0,Consumer,
33234027_c0031,"Jul 02, 2025",179.27,7,166.83,Consumer,
33234027_c0032,"Jul 01, 2025",186.63,3,166.17,Consumer,returned
33234027_c0033,13/09/2024,31.73,3,0,Consumer,
33234027_c0034,2026-01-20,75.4,5,0,Enterprise,
33234027_c0035,16/09/2024,81.25,1,94.73,Consumer,
33234027_c0036,"Oct 21, 2025",273.38,8,,Enterprise,N/A
33234027_c0037,"Aug 13, 2025",27.55,4,,Consumer,
33234027_c0038,2026-01-16,52.41,3,48.59,Consumer,contacted
33234027_c0039,"Jan 28, 2026",129.51,4,68.57,Consumer,
33234027_c0040,2024-12-04,2.29,0,19.22,Enterprise,
33234027_c0041,,142.13,6,132.09,SMB,contacted
33234027_c0042,2025-11-07,9.39,3,84.2,Consumer,no response
33234027_c0043,2025-06-15,45.85,4,94.97,SMB,
33234027_c0044,N/A,273.95,5,208.5,Consumer,
